DimR	Embedding	Assay	G-protein	Layer	Score
PCA	shed	ebBRET	GNAQ	10	0.004
PCA	shed	ebBRET	GNAQ	31	0.004
PCA	shed	ebBRET	GNAQ	33	0.004
PCA	shed	ebBRET	GNAQ	1	0.003
PCA	shed	ebBRET	GNAQ	8	0.001
PCA	shed	ebBRET	GNAQ	26	0.001
PCA	shed	ebBRET	GNAQ	4	0.0
PCA	shed	ebBRET	GNAQ	28	0.0
PCA	shed	ebBRET	GNAI2	15	0.094
PCA	shed	ebBRET	GNAI2	22	0.085
PCA	shed	ebBRET	GNAI2	19	0.064
PCA	shed	ebBRET	GNAI2	11	0.059
PCA	shed	ebBRET	GNAI2	18	0.059
PCA	shed	ebBRET	GNAI2	2	0.041
PCA	shed	ebBRET	GNAI2	12	0.036
PCA	shed	ebBRET	GNAI2	30	0.03
PCA	shed	ebBRET	GNAI2	14	0.026
PCA	shed	ebBRET	GNAI2	23	0.021
PCA	shed	ebBRET	GNAI2	32	0.02
PCA	shed	ebBRET	GNAI2	5	0.018
PCA	shed	ebBRET	GNAI2	0	0.012
PCA	shed	ebBRET	GNAI2	13	0.012
PCA	shed	ebBRET	GNAI2	25	0.012
PCA	shed	ebBRET	GNAI2	7	0.011
PCA	shed	ebBRET	GNAI2	17	0.011
PCA	shed	ebBRET	GNAI2	20	0.011
PCA	shed	ebBRET	GNAI2	21	0.011
PCA	shed	ebBRET	GNAI2	16	0.01
PCA	shed	ebBRET	GNAI2	3	0.009
PCA	shed	ebBRET	GNAI2	9	0.009
PCA	shed	ebBRET	GNAI2	27	0.009
PCA	shed	ebBRET	GNAI2	24	0.007
PCA	shed	ebBRET	GNAI2	29	0.006
PCA	shed	ebBRET	GNAI2	6	0.005
PCA	shed	ebBRET	GNAI2	10	0.004
PCA	shed	ebBRET	GNAI2	31	0.004
PCA	shed	ebBRET	GNAI2	33	0.004
PCA	shed	ebBRET	GNAI2	1	0.003
PCA	shed	ebBRET	GNAI2	8	0.001
PCA	shed	ebBRET	GNAI2	26	0.001
PCA	shed	ebBRET	GNAI2	4	0.0
PCA	shed	ebBRET	GNAI2	28	0.0
PCA	shed	ebBRET	GNAI1	15	0.094
PCA	shed	ebBRET	GNAI1	22	0.085
PCA	shed	ebBRET	GNAI1	19	0.064
PCA	shed	ebBRET	GNAI1	11	0.059
PCA	shed	ebBRET	GNAI1	18	0.059
PCA	shed	ebBRET	GNAI1	2	0.041
PCA	shed	ebBRET	GNAI1	12	0.036
PCA	shed	ebBRET	GNAI1	30	0.03
PCA	shed	ebBRET	GNAI1	14	0.026
PCA	shed	ebBRET	GNAI1	23	0.021
PCA	shed	ebBRET	GNAI1	32	0.02
PCA	shed	ebBRET	GNAI1	5	0.018
PCA	shed	ebBRET	GNAI1	0	0.012
PCA	shed	ebBRET	GNAI1	13	0.012
PCA	shed	ebBRET	GNAI1	25	0.012
PCA	shed	ebBRET	GNAI1	7	0.011
PCA	shed	ebBRET	GNAI1	17	0.011
PCA	shed	ebBRET	GNAI1	20	0.011
PCA	shed	ebBRET	GNAI1	21	0.011
PCA	shed	ebBRET	GNAI1	16	0.01
PCA	shed	ebBRET	GNAI1	3	0.009
PCA	shed	ebBRET	GNAI1	9	0.009
PCA	shed	ebBRET	GNAI1	27	0.009
PCA	shed	ebBRET	GNAI1	24	0.007
PCA	shed	ebBRET	GNAI1	29	0.006
PCA	shed	ebBRET	GNAI1	6	0.005
PCA	shed	ebBRET	GNAI1	10	0.004
PCA	shed	ebBRET	GNAI1	31	0.004
PCA	shed	ebBRET	GNAI1	33	0.004
PCA	shed	ebBRET	GNAI1	1	0.003
PCA	shed	ebBRET	GNAI1	8	0.001
PCA	shed	ebBRET	GNAI1	26	0.001
PCA	shed	ebBRET	GNAI1	4	0.0
PCA	shed	ebBRET	GNAI1	28	0.0
PCA	shed	ebBRET	GNA15	15	0.094
PCA	shed	ebBRET	GNA15	22	0.085
PCA	shed	ebBRET	GNA15	19	0.064
PCA	shed	ebBRET	GNA15	11	0.059
PCA	shed	ebBRET	GNA15	18	0.059
PCA	shed	ebBRET	GNA15	2	0.041
PCA	shed	ebBRET	GNA15	12	0.036
PCA	shed	ebBRET	GNA15	30	0.03
PCA	shed	ebBRET	GNA15	14	0.026
PCA	shed	ebBRET	GNA15	23	0.021
PCA	shed	ebBRET	GNA15	32	0.02
PCA	shed	ebBRET	GNA15	5	0.018
PCA	shed	ebBRET	GNA15	0	0.012
PCA	shed	ebBRET	GNA15	13	0.012
PCA	shed	ebBRET	GNA15	25	0.012
PCA	shed	ebBRET	GNA15	7	0.011
PCA	shed	ebBRET	GNA15	17	0.011
PCA	shed	ebBRET	GNA15	20	0.011
PCA	shed	ebBRET	GNA15	21	0.011
PCA	shed	ebBRET	GNA15	16	0.01
PCA	shed	ebBRET	GNA15	3	0.009
PCA	shed	ebBRET	GNA15	9	0.009
PCA	shed	ebBRET	GNA15	27	0.009
PCA	shed	ebBRET	GNA15	24	0.007
PCA	shed	ebBRET	GNA15	29	0.006
PCA	shed	ebBRET	GNA15	6	0.005
PCA	shed	ebBRET	GNA15	10	0.004
PCA	shed	ebBRET	GNA15	31	0.004
PCA	shed	ebBRET	GNA15	33	0.004
PCA	shed	ebBRET	GNA15	1	0.003
PCA	shed	ebBRET	GNA15	8	0.001
PCA	shed	ebBRET	GNA15	26	0.001
PCA	shed	ebBRET	GNA15	4	0.0
PCA	shed	ebBRET	GNA15	28	0.0
PCA	shed	ebBRET	GNA14	15	0.094
PCA	shed	ebBRET	GNA14	22	0.085
PCA	shed	ebBRET	GNA14	19	0.064
PCA	shed	ebBRET	GNA14	11	0.059
PCA	shed	ebBRET	GNA14	18	0.059
PCA	shed	ebBRET	GNA14	2	0.041
PCA	shed	ebBRET	GNA14	12	0.036
PCA	shed	ebBRET	GNA14	30	0.03
PCA	shed	ebBRET	GNA14	14	0.026
PCA	shed	ebBRET	GNA14	23	0.021
PCA	shed	ebBRET	GNA14	32	0.02
PCA	shed	ebBRET	GNA14	5	0.018
PCA	shed	ebBRET	GNA14	0	0.012
PCA	shed	ebBRET	GNA14	13	0.012
PCA	shed	ebBRET	GNA14	25	0.012
PCA	shed	ebBRET	GNA14	7	0.011
PCA	shed	ebBRET	GNA14	17	0.011
PCA	shed	ebBRET	GNA14	20	0.011
PCA	shed	ebBRET	GNA14	21	0.011
PCA	shed	ebBRET	GNA14	16	0.01
PCA	shed	ebBRET	GNA14	3	0.009
PCA	shed	ebBRET	GNA14	9	0.009
PCA	shed	ebBRET	GNA14	27	0.009
PCA	shed	ebBRET	GNA14	24	0.007
PCA	shed	ebBRET	GNA14	29	0.006
PCA	shed	ebBRET	GNA14	6	0.005
PCA	shed	ebBRET	GNA14	10	0.004
PCA	shed	ebBRET	GNA14	31	0.004
PCA	shed	ebBRET	GNA14	33	0.004
PCA	shed	ebBRET	GNA14	1	0.003
PCA	shed	ebBRET	GNA14	8	0.001
PCA	shed	ebBRET	GNA14	26	0.001
PCA	shed	ebBRET	GNA14	4	0.0
PCA	shed	ebBRET	GNA14	28	0.0
PCA	shed	ebBRET	GNA13	15	0.094
PCA	shed	ebBRET	GNA13	22	0.085
PCA	shed	ebBRET	GNA13	19	0.064
PCA	shed	ebBRET	GNA13	11	0.059
PCA	shed	ebBRET	GNA13	18	0.059
PCA	shed	ebBRET	GNA13	2	0.041
PCA	shed	ebBRET	GNA13	12	0.036
PCA	shed	ebBRET	GNA13	30	0.03
PCA	shed	ebBRET	GNA13	14	0.026
PCA	shed	ebBRET	GNA13	23	0.021
PCA	shed	ebBRET	GNA13	32	0.02
PCA	shed	ebBRET	GNA13	5	0.018
PCA	shed	ebBRET	GNA13	0	0.012
PCA	shed	ebBRET	GNA13	13	0.012
PCA	shed	ebBRET	GNA13	25	0.012
PCA	shed	ebBRET	GNA13	7	0.011
PCA	shed	ebBRET	GNA13	17	0.011
PCA	shed	ebBRET	GNA13	20	0.011
PCA	shed	ebBRET	GNA13	21	0.011
PCA	shed	ebBRET	GNA13	16	0.01
PCA	shed	ebBRET	GNA13	3	0.009
PCA	shed	ebBRET	GNA13	9	0.009
PCA	shed	ebBRET	GNA13	27	0.009
PCA	shed	ebBRET	GNA13	24	0.007
PCA	shed	ebBRET	GNA13	29	0.006
PCA	shed	ebBRET	GNA13	6	0.005
PCA	shed	ebBRET	GNA13	10	0.004
PCA	shed	ebBRET	GNA13	31	0.004
PCA	shed	ebBRET	GNA13	33	0.004
PCA	shed	ebBRET	GNA13	1	0.003
PCA	shed	ebBRET	GNA13	8	0.001
PCA	shed	ebBRET	GNA13	26	0.001
PCA	shed	ebBRET	GNA13	4	0.0
PCA	shed	ebBRET	GNA13	28	0.0
PCA	shed	ebBRET	GNA12	15	0.094
PCA	shed	ebBRET	GNA12	22	0.085
PCA	shed	ebBRET	GNA12	19	0.064
PCA	shed	ebBRET	GNA12	11	0.059
PCA	shed	ebBRET	GNA12	18	0.059
PCA	shed	ebBRET	GNA12	2	0.041
PCA	shed	ebBRET	GNA12	12	0.036
PCA	shed	ebBRET	GNA12	30	0.03
PCA	shed	ebBRET	GNA12	14	0.026
PCA	shed	ebBRET	GNA12	23	0.021
PCA	shed	ebBRET	GNA12	32	0.02
PCA	shed	ebBRET	GNA12	5	0.018
PCA	shed	ebBRET	GNA12	0	0.012
PCA	shed	ebBRET	GNA12	13	0.012
PCA	shed	ebBRET	GNA12	25	0.012
PCA	shed	ebBRET	GNA12	7	0.011
PCA	shed	ebBRET	GNA12	17	0.011
PCA	shed	ebBRET	GNA12	20	0.011
PCA	shed	ebBRET	GNA12	21	0.011
PCA	shed	ebBRET	GNA12	16	0.01
PCA	shed	ebBRET	GNA12	3	0.009
PCA	shed	ebBRET	GNA12	9	0.009
PCA	shed	ebBRET	GNA12	27	0.009
PCA	shed	ebBRET	GNA12	24	0.007
PCA	shed	ebBRET	GNA12	29	0.006
PCA	shed	ebBRET	GNA12	6	0.005
PCA	shed	ebBRET	GNA12	10	0.004
PCA	shed	ebBRET	GNA12	31	0.004
PCA	shed	ebBRET	GNA12	33	0.004
PCA	shed	ebBRET	GNA12	1	0.003
PCA	shed	ebBRET	GNA12	8	0.001
PCA	shed	ebBRET	GNA12	26	0.001
PCA	shed	ebBRET	GNA12	4	0.0
PCA	shed	ebBRET	GNA12	28	0.0
PCA	shed	ebBRET	GNA11	15	0.094
PCA	shed	ebBRET	GNA11	22	0.085
PCA	shed	ebBRET	GNA11	19	0.064
PCA	shed	ebBRET	GNA11	11	0.059
PCA	shed	ebBRET	GNA11	18	0.059
PCA	shed	ebBRET	GNA11	2	0.041
PCA	shed	ebBRET	GNA11	12	0.036
PCA	shed	ebBRET	GNA11	30	0.03
PCA	shed	ebBRET	GNA11	14	0.026
PCA	shed	ebBRET	GNA11	23	0.021
PCA	shed	ebBRET	GNA11	32	0.02
PCA	shed	ebBRET	GNA11	5	0.018
PCA	shed	ebBRET	GNA11	0	0.012
PCA	shed	ebBRET	GNA11	13	0.012
PCA	shed	ebBRET	GNA11	25	0.012
PCA	shed	ebBRET	GNA11	7	0.011
PCA	shed	ebBRET	GNA11	17	0.011
PCA	shed	ebBRET	GNA11	20	0.011
PCA	shed	ebBRET	GNA11	21	0.011
PCA	shed	ebBRET	GNA11	16	0.01
PCA	shed	ebBRET	GNA11	3	0.009
PCA	shed	ebBRET	GNA11	9	0.009
PCA	shed	ebBRET	GNA11	27	0.009
PCA	shed	ebBRET	GNA11	24	0.007
PCA	shed	ebBRET	GNA11	29	0.006
PCA	shed	ebBRET	GNA11	6	0.005
PCA	shed	ebBRET	GNA11	10	0.004
PCA	shed	ebBRET	GNA11	31	0.004
PCA	shed	ebBRET	GNA11	33	0.004
PCA	shed	ebBRET	GNA11	1	0.003
PCA	shed	ebBRET	GNA11	8	0.001
PCA	shed	ebBRET	GNA11	26	0.001
PCA	shed	ebBRET	GNA11	4	0.0
PCA	shed	ebBRET	GNA11	28	0.0
PCA	shed	ebBRET	Barr2-GRK2	15	0.094
PCA	shed	ebBRET	Barr2-GRK2	22	0.085
PCA	shed	ebBRET	Barr2-GRK2	19	0.064
PCA	shed	ebBRET	Barr2-GRK2	11	0.059
PCA	shed	ebBRET	Barr2-GRK2	18	0.059
