DimR	Embedding	Assay	G-protein	Layer	Score
PCA	shed	IUPHAR	GNAL	26	0.007
PCA	shed	IUPHAR	GNAL	1	0.006
PCA	shed	IUPHAR	GNAL	11	0.006
PCA	shed	IUPHAR	GNAL	16	0.006
PCA	shed	IUPHAR	GNAL	9	0.004
PCA	shed	IUPHAR	GNAL	15	0.004
PCA	shed	IUPHAR	GNAL	22	0.004
PCA	shed	IUPHAR	GNAL	5	0.002
PCA	shed	IUPHAR	GNAL	6	0.002
PCA	shed	IUPHAR	GNAL	12	0.002
PCA	shed	IUPHAR	GNAL	24	0.002
PCA	shed	IUPHAR	GNAL	18	0.001
PCA	shed	IUPHAR	GNAL	3	0.0
PCA	shed	IUPHAR	GNAL	4	0.0
PCA	shed	IUPHAR	GNAL	14	0.0
PCA	shed	IUPHAR	GNAL	20	0.0
PCA	shed	IUPHAR	GNAL	23	0.0
PCA	shed	IUPHAR	GNAL	30	0.0
PCA	shed	IUPHAR	GNAI3	2	0.033
PCA	shed	IUPHAR	GNAI3	28	0.023
PCA	shed	IUPHAR	GNAI3	4	0.02
PCA	shed	IUPHAR	GNAI3	21	0.016
PCA	shed	IUPHAR	GNAI3	26	0.016
PCA	shed	IUPHAR	GNAI3	27	0.015
PCA	shed	IUPHAR	GNAI3	32	0.011
PCA	shed	IUPHAR	GNAI3	29	0.01
PCA	shed	IUPHAR	GNAI3	16	0.009
PCA	shed	IUPHAR	GNAI3	8	0.008
PCA	shed	IUPHAR	GNAI3	20	0.008
PCA	shed	IUPHAR	GNAI3	30	0.008
PCA	shed	IUPHAR	GNAI3	15	0.006
PCA	shed	IUPHAR	GNAI3	0	0.004
PCA	shed	IUPHAR	GNAI3	22	0.004
PCA	shed	IUPHAR	GNAI3	3	0.003
PCA	shed	IUPHAR	GNAI3	24	0.003
PCA	shed	IUPHAR	GNAI3	31	0.003
PCA	shed	IUPHAR	GNAI3	6	0.002
PCA	shed	IUPHAR	GNAI3	19	0.002
PCA	shed	IUPHAR	GNAI3	23	0.002
PCA	shed	IUPHAR	GNAI3	25	0.002
PCA	shed	IUPHAR	GNAI3	5	0.001
PCA	shed	IUPHAR	GNAI3	7	0.001
PCA	shed	IUPHAR	GNAI3	10	0.001
PCA	shed	IUPHAR	GNAI3	13	0.001
PCA	shed	IUPHAR	GNAI3	1	0.0
PCA	shed	IUPHAR	GNAI3	9	0.0
PCA	shed	IUPHAR	GNAI3	11	0.0
PCA	shed	IUPHAR	GNAI3	12	0.0
PCA	shed	IUPHAR	GNAI3	14	0.0
PCA	shed	IUPHAR	GNAI3	17	0.0
PCA	shed	IUPHAR	GNAI3	18	0.0
PCA	shed	IUPHAR	GNAI3	33	0.0
PCA	shed	IUPHAR	GNAI2	2	0.033
PCA	shed	IUPHAR	GNAI2	28	0.023
PCA	shed	IUPHAR	GNAI2	4	0.02
PCA	shed	IUPHAR	GNAI2	21	0.016
PCA	shed	IUPHAR	GNAI2	26	0.016
PCA	shed	IUPHAR	GNAI2	27	0.015
PCA	shed	IUPHAR	GNAI2	32	0.011
PCA	shed	IUPHAR	GNAI2	29	0.01
PCA	shed	IUPHAR	GNAI2	16	0.009
PCA	shed	IUPHAR	GNAI2	8	0.008
PCA	shed	IUPHAR	GNAI2	20	0.008
PCA	shed	IUPHAR	GNAI2	30	0.008
PCA	shed	IUPHAR	GNAI2	15	0.006
PCA	shed	IUPHAR	GNAI2	0	0.004
PCA	shed	IUPHAR	GNAI2	22	0.004
PCA	shed	IUPHAR	GNAI2	3	0.003
PCA	shed	IUPHAR	GNAI2	24	0.003
PCA	shed	IUPHAR	GNAI2	31	0.003
PCA	shed	IUPHAR	GNAI2	6	0.002
PCA	shed	IUPHAR	GNAI2	19	0.002
PCA	shed	IUPHAR	GNAI2	23	0.002
PCA	shed	IUPHAR	GNAI2	25	0.002
PCA	shed	IUPHAR	GNAI2	5	0.001
PCA	shed	IUPHAR	GNAI2	7	0.001
PCA	shed	IUPHAR	GNAI2	10	0.001
PCA	shed	IUPHAR	GNAI2	13	0.001
PCA	shed	IUPHAR	GNAI2	1	0.0
PCA	shed	IUPHAR	GNAI2	9	0.0
PCA	shed	IUPHAR	GNAI2	11	0.0
PCA	shed	IUPHAR	GNAI2	12	0.0
PCA	shed	IUPHAR	GNAI2	14	0.0
PCA	shed	IUPHAR	GNAI2	17	0.0
PCA	shed	IUPHAR	GNAI2	18	0.0
PCA	shed	IUPHAR	GNAI2	33	0.0
PCA	shed	IUPHAR	GNAI1	2	0.033
PCA	shed	IUPHAR	GNAI1	28	0.023
PCA	shed	IUPHAR	GNAI1	4	0.02
PCA	shed	IUPHAR	GNAI1	21	0.016
PCA	shed	IUPHAR	GNAI1	26	0.016
PCA	shed	IUPHAR	GNAI1	27	0.015
PCA	shed	IUPHAR	GNAI1	32	0.011
PCA	shed	IUPHAR	GNAI1	29	0.01
PCA	shed	IUPHAR	GNAI1	16	0.009
PCA	shed	IUPHAR	GNAI1	8	0.008
PCA	shed	IUPHAR	GNAI1	20	0.008
PCA	shed	IUPHAR	GNAI1	30	0.008
PCA	shed	IUPHAR	GNAI1	15	0.006
PCA	shed	IUPHAR	GNAI1	0	0.004
PCA	shed	IUPHAR	GNAI1	22	0.004
PCA	shed	IUPHAR	GNAI1	3	0.003
PCA	shed	IUPHAR	GNAI1	24	0.003
PCA	shed	IUPHAR	GNAI1	31	0.003
PCA	shed	IUPHAR	GNAI1	6	0.002
PCA	shed	IUPHAR	GNAI1	19	0.002
PCA	shed	IUPHAR	GNAI1	23	0.002
PCA	shed	IUPHAR	GNAI1	25	0.002
PCA	shed	IUPHAR	GNAI1	5	0.001
PCA	shed	IUPHAR	GNAI1	7	0.001
PCA	shed	IUPHAR	GNAI1	10	0.001
PCA	shed	IUPHAR	GNAI1	13	0.001
PCA	shed	IUPHAR	GNAI1	1	0.0
PCA	shed	IUPHAR	GNAI1	9	0.0
PCA	shed	IUPHAR	GNAI1	11	0.0
PCA	shed	IUPHAR	GNAI1	12	0.0
PCA	shed	IUPHAR	GNAI1	14	0.0
PCA	shed	IUPHAR	GNAI1	17	0.0
PCA	shed	IUPHAR	GNAI1	18	0.0
PCA	shed	IUPHAR	GNAI1	33	0.0
PCA	shed	IUPHAR	GNA15	33	0.034
PCA	shed	IUPHAR	GNA15	16	0.026
PCA	shed	IUPHAR	GNA15	22	0.022
PCA	shed	IUPHAR	GNA15	30	0.022
PCA	shed	IUPHAR	GNA15	15	0.018
PCA	shed	IUPHAR	GNA15	20	0.016
PCA	shed	IUPHAR	GNA15	23	0.014
PCA	shed	IUPHAR	GNA15	7	0.012
PCA	shed	IUPHAR	GNA15	1	0.009
PCA	shed	IUPHAR	GNA15	9	0.006
PCA	shed	IUPHAR	GNA15	21	0.006
PCA	shed	IUPHAR	GNA15	24	0.006
PCA	shed	IUPHAR	GNA15	6	0.005
PCA	shed	IUPHAR	GNA15	25	0.004
PCA	shed	IUPHAR	GNA15	0	0.002
PCA	shed	IUPHAR	GNA15	8	0.002
PCA	shed	IUPHAR	GNA15	14	0.002
PCA	shed	IUPHAR	GNA15	17	0.002
PCA	shed	IUPHAR	GNA15	3	0.001
PCA	shed	IUPHAR	GNA15	4	0.001
PCA	shed	IUPHAR	GNA15	19	0.001
PCA	shed	IUPHAR	GNA15	26	0.001
PCA	shed	IUPHAR	GNA15	28	0.001
PCA	shed	IUPHAR	GNA15	32	0.001
PCA	shed	IUPHAR	GNA15	2	0.0
PCA	shed	IUPHAR	GNA15	5	0.0
PCA	shed	IUPHAR	GNA15	10	0.0
PCA	shed	IUPHAR	GNA15	11	0.0
PCA	shed	IUPHAR	GNA15	12	0.0
PCA	shed	IUPHAR	GNA15	13	0.0
PCA	shed	IUPHAR	GNA15	18	0.0
PCA	shed	IUPHAR	GNA15	27	0.0
PCA	shed	IUPHAR	GNA15	29	0.0
PCA	shed	IUPHAR	GNA15	31	0.0
PCA	shed	IUPHAR	GNA14	33	0.034
PCA	shed	IUPHAR	GNA14	16	0.026
PCA	shed	IUPHAR	GNA14	22	0.022
PCA	shed	IUPHAR	GNA14	30	0.022
PCA	shed	IUPHAR	GNA14	15	0.018
PCA	shed	IUPHAR	GNA14	20	0.016
PCA	shed	IUPHAR	GNA14	23	0.014
PCA	shed	IUPHAR	GNA14	7	0.012
PCA	shed	IUPHAR	GNA14	1	0.009
PCA	shed	IUPHAR	GNA14	9	0.006
PCA	shed	IUPHAR	GNA14	21	0.006
PCA	shed	IUPHAR	GNA14	24	0.006
PCA	shed	IUPHAR	GNA14	6	0.005
PCA	shed	IUPHAR	GNA14	25	0.004
PCA	shed	IUPHAR	GNA14	0	0.002
PCA	shed	IUPHAR	GNA14	8	0.002
PCA	shed	IUPHAR	GNA14	14	0.002
PCA	shed	IUPHAR	GNA14	17	0.002
PCA	shed	IUPHAR	GNA14	3	0.001
PCA	shed	IUPHAR	GNA14	4	0.001
PCA	shed	IUPHAR	GNA14	19	0.001
PCA	shed	IUPHAR	GNA14	26	0.001
PCA	shed	IUPHAR	GNA14	28	0.001
PCA	shed	IUPHAR	GNA14	32	0.001
PCA	shed	IUPHAR	GNA14	2	0.0
PCA	shed	IUPHAR	GNA14	5	0.0
PCA	shed	IUPHAR	GNA14	10	0.0
PCA	shed	IUPHAR	GNA14	11	0.0
PCA	shed	IUPHAR	GNA14	12	0.0
PCA	shed	IUPHAR	GNA14	13	0.0
PCA	shed	IUPHAR	GNA14	18	0.0
PCA	shed	IUPHAR	GNA14	27	0.0
PCA	shed	IUPHAR	GNA14	29	0.0
PCA	shed	IUPHAR	GNA14	31	0.0
PCA	shed	IUPHAR	GNA13	33	0.06
PCA	shed	IUPHAR	GNA13	23	0.038
PCA	shed	IUPHAR	GNA13	22	0.036
PCA	shed	IUPHAR	GNA13	30	0.036
PCA	shed	IUPHAR	GNA13	0	0.026
PCA	shed	IUPHAR	GNA13	15	0.024
PCA	shed	IUPHAR	GNA13	1	0.023
PCA	shed	IUPHAR	GNA13	20	0.023
PCA	shed	IUPHAR	GNA13	11	0.021
PCA	shed	IUPHAR	GNA13	24	0.021
PCA	shed	IUPHAR	GNA13	17	0.02
PCA	shed	IUPHAR	GNA13	21	0.02
PCA	shed	IUPHAR	GNA13	32	0.02
PCA	shed	IUPHAR	GNA13	12	0.014
PCA	shed	IUPHAR	GNA13	7	0.013
PCA	shed	IUPHAR	GNA13	25	0.012
PCA	shed	IUPHAR	GNA13	2	0.011
PCA	shed	IUPHAR	GNA13	16	0.011
PCA	shed	IUPHAR	GNA13	9	0.007
PCA	shed	IUPHAR	GNA13	19	0.006
PCA	shed	IUPHAR	GNA13	6	0.005
PCA	shed	IUPHAR	GNA13	13	0.003
PCA	shed	IUPHAR	GNA13	5	0.002
PCA	shed	IUPHAR	GNA13	18	0.002
PCA	shed	IUPHAR	GNA13	4	0.001
PCA	shed	IUPHAR	GNA13	27	0.001
PCA	shed	IUPHAR	GNA13	3	0.0
PCA	shed	IUPHAR	GNA13	8	0.0
PCA	shed	IUPHAR	GNA13	10	0.0
PCA	shed	IUPHAR	GNA13	14	0.0
PCA	shed	IUPHAR	GNA13	26	0.0
PCA	shed	IUPHAR	GNA13	28	0.0
PCA	shed	IUPHAR	GNA13	29	0.0
PCA	shed	IUPHAR	GNA13	31	0.0
PCA	shed	IUPHAR	GNA12	33	0.06
PCA	shed	IUPHAR	GNA12	23	0.038
PCA	shed	IUPHAR	GNA12	22	0.036
PCA	shed	IUPHAR	GNA12	30	0.036
PCA	shed	IUPHAR	GNA12	0	0.026
PCA	shed	IUPHAR	GNA12	15	0.024
PCA	shed	IUPHAR	GNA12	1	0.023
PCA	shed	IUPHAR	GNA12	20	0.023
PCA	shed	IUPHAR	GNA12	11	0.021
PCA	shed	IUPHAR	GNA12	24	0.021
PCA	shed	IUPHAR	GNA12	17	0.02
PCA	shed	IUPHAR	GNA12	21	0.02
PCA	shed	IUPHAR	GNA12	32	0.02
PCA	shed	IUPHAR	GNA12	12	0.014
PCA	shed	IUPHAR	GNA12	7	0.013
PCA	shed	IUPHAR	GNA12	25	0.012
PCA	shed	IUPHAR	GNA12	2	0.011
PCA	shed	IUPHAR	GNA12	16	0.011
PCA	shed	IUPHAR	GNA12	9	0.007
PCA	shed	IUPHAR	GNA12	19	0.006
PCA	shed	IUPHAR	GNA12	6	0.005
PCA	shed	IUPHAR	GNA12	13	0.003
PCA	shed	IUPHAR	GNA12	5	0.002
PCA	shed	IUPHAR	GNA12	18	0.002
PCA	shed	IUPHAR	GNA12	4	0.001
PCA	shed	IUPHAR	GNA12	27	0.001
PCA	shed	IUPHAR	GNA12	3	0.0
PCA	shed	IUPHAR	GNA12	8	0.0
PCA	shed	IUPHAR	GNA12	10	0.0
PCA	shed	IUPHAR	GNA12	14	0.0
PCA	shed	IUPHAR	GNA12	26	0.0
PCA	shed	IUPHAR	GNA12	28	0.0
PCA	shed	IUPHAR	GNA12	29	0.0
PCA	shed	IUPHAR	GNA12	31	0.0
PCA	shed	IUPHAR	GNA11	33	0.034
PCA	shed	IUPHAR	GNA11	16	0.026
PCA	shed	IUPHAR	GNA11	22	0.022
PCA	shed	IUPHAR	GNA11	30	0.022
PCA	shed	IUPHAR	GNA11	15	0.018
PCA	shed	IUPHAR	GNA11	20	0.016
PCA	shed	IUPHAR	GNA11	23	0.014
PCA	shed	IUPHAR	GNA11	7	0.012
PCA	shed	IUPHAR	GNA11	1	0.009
PCA	shed	IUPHAR	GNA11	9	0.006
PCA	shed	IUPHAR	GNA11	21	0.006
PCA	shed	IUPHAR	GNA11	24	0.006
PCA	shed	IUPHAR	GNA11	6	0.005
PCA	shed	IUPHAR	GNA11	25	0.004
PCA	shed	IUPHAR	GNA11	0	0.002
PCA	shed	IUPHAR	GNA11	8	0.002
PCA	shed	IUPHAR	GNA11	14	0.002
PCA	shed	IUPHAR	GNA11	17	0.002
PCA	shed	IUPHAR	GNA11	3	0.001
PCA	shed	IUPHAR	GNA11	4	0.001
PCA	shed	IUPHAR	GNA11	19	0.001
PCA	shed	IUPHAR	GNA11	26	0.001
PCA	shed	IUPHAR	GNA11	28	0.001
PCA	shed	IUPHAR	GNA11	32	0.001
PCA	shed	IUPHAR	GNA11	2	0.0
PCA	shed	IUPHAR	GNA11	5	0.0
PCA	shed	IUPHAR	GNA11	10	0.0
PCA	shed	IUPHAR	GNA11	11	0.0
PCA	shed	IUPHAR	GNA11	12	0.0
PCA	shed	IUPHAR	GNA11	13	0.0
PCA	shed	IUPHAR	GNA11	18	0.0
PCA	shed	IUPHAR	GNA11	27	0.0
PCA	shed	IUPHAR	GNA11	29	0.0
PCA	shed	IUPHAR	GNA11	31	0.0
PCA	ebret	ebBRET	GoB	33	0.059
PCA	ebret	ebBRET	GoB	0	0.045
PCA	ebret	ebBRET	GoB	11	0.045
PCA	ebret	ebBRET	GoB	12	0.033
PCA	ebret	ebBRET	GoB	6	0.028
PCA	ebret	ebBRET	GoB	20	0.028
PCA	ebret	ebBRET	GoB	8	0.026
PCA	ebret	ebBRET	GoB	10	0.023
PCA	ebret	ebBRET	GoB	24	0.013
PCA	ebret	ebBRET	GoB	16	0.011
PCA	ebret	ebBRET	GoB	21	0.009
PCA	ebret	ebBRET	GoB	18	0.008
PCA	ebret	ebBRET	GoB	2	0.005
PCA	ebret	ebBRET	GoB	4	0.005
PCA	ebret	ebBRET	GoB	14	0.005
PCA	ebret	ebBRET	GoB	17	0.005
PCA	ebret	ebBRET	GoB	22	0.005
PCA	ebret	ebBRET	GoB	28	0.004
PCA	ebret	ebBRET	GoB	29	0.004
PCA	ebret	ebBRET	GoB	3	0.003
PCA	ebret	ebBRET	GoB	27	0.003
PCA	ebret	ebBRET	GoB	26	0.002
PCA	ebret	ebBRET	GoB	30	0.002
PCA	ebret	ebBRET	GoB	31	0.002
PCA	ebret	ebBRET	GoB	32	0.002
PCA	ebret	ebBRET	GoB	5	0.001
PCA	ebret	ebBRET	GoB	15	0.001
PCA	ebret	ebBRET	GoB	19	0.001
PCA	ebret	ebBRET	GoB	23	0.001
PCA	ebret	ebBRET	GoB	1	0.0
PCA	ebret	ebBRET	GoB	7	0.0
PCA	ebret	ebBRET	GoB	9	0.0
PCA	ebret	ebBRET	GoB	13	0.0
PCA	ebret	ebBRET	GoB	25	0.0
PCA	ebret	ebBRET	GoA	10	0.046
PCA	ebret	ebBRET	GoA	33	0.04
PCA	ebret	ebBRET	GoA	21	0.029
PCA	ebret	ebBRET	GoA	14	0.021
PCA	ebret	ebBRET	GoA	17	0.021
PCA	ebret	ebBRET	GoA	22	0.021
PCA	ebret	ebBRET	GoA	5	0.02
PCA	ebret	ebBRET	GoA	2	0.016
PCA	ebret	ebBRET	GoA	6	0.009
PCA	ebret	ebBRET	GoA	20	0.009
PCA	ebret	ebBRET	GoA	0	0.006
PCA	ebret	ebBRET	GoA	9	0.006
PCA	ebret	ebBRET	GoA	3	0.004
PCA	ebret	ebBRET	GoA	7	0.004
PCA	ebret	ebBRET	GoA	15	0.003
PCA	ebret	ebBRET	GoA	32	0.003
PCA	ebret	ebBRET	GoA	8	0.002
PCA	ebret	ebBRET	GoA	13	0.002
PCA	ebret	ebBRET	GoA	4	0.001
PCA	ebret	ebBRET	GoA	11	0.001
PCA	ebret	ebBRET	GoA	16	0.001
PCA	ebret	ebBRET	GoA	24	0.001
PCA	ebret	ebBRET	GoA	28	0.001
PCA	ebret	ebBRET	GoA	29	0.001
PCA	ebret	ebBRET	GoA	1	0.0
PCA	ebret	ebBRET	GoA	12	0.0
PCA	ebret	ebBRET	GoA	18	0.0
PCA	ebret	ebBRET	GoA	19	0.0
PCA	ebret	ebBRET	GoA	23	0.0
PCA	ebret	ebBRET	GoA	25	0.0
PCA	ebret	ebBRET	GoA	26	0.0
PCA	ebret	ebBRET	GoA	27	0.0
PCA	ebret	ebBRET	GoA	30	0.0
PCA	ebret	ebBRET	GoA	31	0.0
PCA	ebret	ebBRET	GNAZ	5	0.049
PCA	ebret	ebBRET	GNAZ	14	0.023
PCA	ebret	ebBRET	GNAZ	17	0.023
PCA	ebret	ebBRET	GNAZ	22	0.023
PCA	ebret	ebBRET	GNAZ	13	0.022
PCA	ebret	ebBRET	GNAZ	15	0.022
PCA	ebret	ebBRET	GNAZ	26	0.019
PCA	ebret	ebBRET	GNAZ	25	0.015
PCA	ebret	ebBRET	GNAZ	11	0.012
PCA	ebret	ebBRET	GNAZ	21	0.012
PCA	ebret	ebBRET	GNAZ	33	0.011
PCA	ebret	ebBRET	GNAZ	2	0.007
PCA	ebret	ebBRET	GNAZ	16	0.007
PCA	ebret	ebBRET	GNAZ	18	0.006
PCA	ebret	ebBRET	GNAZ	12	0.004
PCA	ebret	ebBRET	GNAZ	6	0.002
PCA	ebret	ebBRET	GNAZ	19	0.002
PCA	ebret	ebBRET	GNAZ	0	0.001
PCA	ebret	ebBRET	GNAZ	7	0.001
PCA	ebret	ebBRET	GNAZ	9	0.001
PCA	ebret	ebBRET	GNAZ	10	0.001
PCA	ebret	ebBRET	GNAZ	31	0.001
PCA	ebret	ebBRET	GNAZ	32	0.001
PCA	ebret	ebBRET	GNAZ	1	0.0
PCA	ebret	ebBRET	GNAZ	3	0.0
PCA	ebret	ebBRET	GNAZ	4	0.0
PCA	ebret	ebBRET	GNAZ	8	0.0
PCA	ebret	ebBRET	GNAZ	20	0.0
PCA	ebret	ebBRET	GNAZ	23	0.0
PCA	ebret	ebBRET	GNAZ	24	0.0
PCA	ebret	ebBRET	GNAZ	27	0.0
PCA	ebret	ebBRET	GNAZ	28	0.0
PCA	ebret	ebBRET	GNAZ	29	0.0
PCA	ebret	ebBRET	GNAZ	30	0.0
PCA	ebret	ebBRET	GNAS	5	0.049
PCA	ebret	ebBRET	GNAS	14	0.023
PCA	ebret	ebBRET	GNAS	17	0.023
PCA	ebret	ebBRET	GNAS	22	0.023
PCA	ebret	ebBRET	GNAS	13	0.022
PCA	ebret	ebBRET	GNAS	15	0.022
PCA	ebret	ebBRET	GNAS	26	0.019
PCA	ebret	ebBRET	GNAS	25	0.015
PCA	ebret	ebBRET	GNAS	11	0.012
PCA	ebret	ebBRET	GNAS	21	0.012
PCA	ebret	ebBRET	GNAS	33	0.011
PCA	ebret	ebBRET	GNAS	2	0.007
PCA	ebret	ebBRET	GNAS	16	0.007
PCA	ebret	ebBRET	GNAS	18	0.006
PCA	ebret	ebBRET	GNAS	12	0.004
PCA	ebret	ebBRET	GNAS	6	0.002
PCA	ebret	ebBRET	GNAS	19	0.002
PCA	ebret	ebBRET	GNAS	0	0.001
PCA	ebret	ebBRET	GNAS	7	0.001
PCA	ebret	ebBRET	GNAS	9	0.001
PCA	ebret	ebBRET	GNAS	10	0.001
PCA	ebret	ebBRET	GNAS	31	0.001
PCA	ebret	ebBRET	GNAS	32	0.001
PCA	ebret	ebBRET	GNAS	1	0.0
PCA	ebret	ebBRET	GNAS	3	0.0
PCA	ebret	ebBRET	GNAS	4	0.0
PCA	ebret	ebBRET	GNAS	8	0.0
PCA	ebret	ebBRET	GNAS	20	0.0
PCA	ebret	ebBRET	GNAS	23	0.0
PCA	ebret	ebBRET	GNAS	24	0.0
PCA	ebret	ebBRET	GNAS	27	0.0
PCA	ebret	ebBRET	GNAS	28	0.0
PCA	ebret	ebBRET	GNAS	29	0.0
PCA	ebret	ebBRET	GNAS	30	0.0
PCA	ebret	ebBRET	GNAQ	5	0.049
PCA	ebret	ebBRET	GNAQ	14	0.023
PCA	ebret	ebBRET	GNAQ	17	0.023
PCA	ebret	ebBRET	GNAQ	22	0.023
PCA	ebret	ebBRET	GNAQ	13	0.022
PCA	ebret	ebBRET	GNAQ	15	0.022
PCA	ebret	ebBRET	GNAQ	26	0.019
PCA	ebret	ebBRET	GNAQ	25	0.015
PCA	ebret	ebBRET	GNAQ	11	0.012
PCA	ebret	ebBRET	GNAQ	21	0.012
PCA	ebret	ebBRET	GNAQ	33	0.011
PCA	ebret	ebBRET	GNAQ	2	0.007
PCA	ebret	ebBRET	GNAQ	16	0.007
PCA	ebret	ebBRET	GNAQ	18	0.006
PCA	ebret	ebBRET	GNAQ	12	0.004
PCA	ebret	ebBRET	GNAQ	6	0.002
PCA	ebret	ebBRET	GNAQ	19	0.002
PCA	ebret	ebBRET	GNAQ	0	0.001
PCA	ebret	ebBRET	GNAQ	7	0.001
PCA	ebret	ebBRET	GNAQ	9	0.001
PCA	ebret	ebBRET	GNAQ	10	0.001
PCA	ebret	ebBRET	GNAQ	31	0.001
PCA	ebret	ebBRET	GNAQ	32	0.001
PCA	ebret	ebBRET	GNAQ	1	0.0
PCA	ebret	ebBRET	GNAQ	3	0.0
PCA	ebret	ebBRET	GNAQ	4	0.0
PCA	ebret	ebBRET	GNAQ	8	0.0
PCA	ebret	ebBRET	GNAQ	20	0.0
PCA	ebret	ebBRET	GNAQ	23	0.0
PCA	ebret	ebBRET	GNAQ	24	0.0
PCA	ebret	ebBRET	GNAQ	27	0.0
PCA	ebret	ebBRET	GNAQ	28	0.0
PCA	ebret	ebBRET	GNAQ	29	0.0
PCA	ebret	ebBRET	GNAQ	30	0.0
PCA	ebret	ebBRET	GNAI2	5	0.049
PCA	ebret	ebBRET	GNAI2	14	0.023
PCA	ebret	ebBRET	GNAI2	17	0.023
PCA	ebret	ebBRET	GNAI2	22	0.023
PCA	ebret	ebBRET	GNAI2	13	0.022
PCA	ebret	ebBRET	GNAI2	15	0.022
PCA	ebret	ebBRET	GNAI2	26	0.019
PCA	ebret	ebBRET	GNAI2	25	0.015
PCA	ebret	ebBRET	GNAI2	11	0.012
PCA	ebret	ebBRET	GNAI2	21	0.012
PCA	ebret	ebBRET	GNAI2	33	0.011
PCA	ebret	ebBRET	GNAI2	2	0.007
PCA	ebret	ebBRET	GNAI2	16	0.007
PCA	ebret	ebBRET	GNAI2	18	0.006
PCA	ebret	ebBRET	GNAI2	12	0.004
PCA	ebret	ebBRET	GNAI2	6	0.002
PCA	ebret	ebBRET	GNAI2	19	0.002
PCA	ebret	ebBRET	GNAI2	0	0.001
PCA	ebret	ebBRET	GNAI2	7	0.001
PCA	ebret	ebBRET	GNAI2	9	0.001
PCA	ebret	ebBRET	GNAI2	10	0.001
PCA	ebret	ebBRET	GNAI2	31	0.001
PCA	ebret	ebBRET	GNAI2	32	0.001
PCA	ebret	ebBRET	GNAI2	1	0.0
PCA	ebret	ebBRET	GNAI2	3	0.0
PCA	ebret	ebBRET	GNAI2	4	0.0
PCA	ebret	ebBRET	GNAI2	8	0.0
PCA	ebret	ebBRET	GNAI2	20	0.0
PCA	ebret	ebBRET	GNAI2	23	0.0
PCA	ebret	ebBRET	GNAI2	24	0.0
PCA	ebret	ebBRET	GNAI2	27	0.0
PCA	ebret	ebBRET	GNAI2	28	0.0
PCA	ebret	ebBRET	GNAI2	29	0.0
PCA	ebret	ebBRET	GNAI2	30	0.0
PCA	ebret	ebBRET	GNAI1	5	0.049
PCA	ebret	ebBRET	GNAI1	14	0.023
PCA	ebret	ebBRET	GNAI1	17	0.023
PCA	ebret	ebBRET	GNAI1	22	0.023
PCA	ebret	ebBRET	GNAI1	13	0.022
PCA	ebret	ebBRET	GNAI1	15	0.022
PCA	ebret	ebBRET	GNAI1	26	0.019
PCA	ebret	ebBRET	GNAI1	25	0.015
PCA	ebret	ebBRET	GNAI1	11	0.012
PCA	ebret	ebBRET	GNAI1	21	0.012
PCA	ebret	ebBRET	GNAI1	33	0.011
PCA	ebret	ebBRET	GNAI1	2	0.007
PCA	ebret	ebBRET	GNAI1	16	0.007
PCA	ebret	ebBRET	GNAI1	18	0.006
PCA	ebret	ebBRET	GNAI1	12	0.004
PCA	ebret	ebBRET	GNAI1	6	0.002
PCA	ebret	ebBRET	GNAI1	19	0.002
PCA	ebret	ebBRET	GNAI1	0	0.001
PCA	ebret	ebBRET	GNAI1	7	0.001
PCA	ebret	ebBRET	GNAI1	9	0.001
PCA	ebret	ebBRET	GNAI1	10	0.001
PCA	ebret	ebBRET	GNAI1	31	0.001
PCA	ebret	ebBRET	GNAI1	32	0.001
PCA	ebret	ebBRET	GNAI1	1	0.0
PCA	ebret	ebBRET	GNAI1	3	0.0
PCA	ebret	ebBRET	GNAI1	4	0.0
PCA	ebret	ebBRET	GNAI1	8	0.0
PCA	ebret	ebBRET	GNAI1	20	0.0
PCA	ebret	ebBRET	GNAI1	23	0.0
PCA	ebret	ebBRET	GNAI1	24	0.0
PCA	ebret	ebBRET	GNAI1	27	0.0
PCA	ebret	ebBRET	GNAI1	28	0.0
PCA	ebret	ebBRET	GNAI1	29	0.0
PCA	ebret	ebBRET	GNAI1	30	0.0
PCA	ebret	ebBRET	GNA15	5	0.049
PCA	ebret	ebBRET	GNA15	14	0.023
PCA	ebret	ebBRET	GNA15	17	0.023
PCA	ebret	ebBRET	GNA15	22	0.023
PCA	ebret	ebBRET	GNA15	13	0.022
PCA	ebret	ebBRET	GNA15	15	0.022
PCA	ebret	ebBRET	GNA15	26	0.019
PCA	ebret	ebBRET	GNA15	25	0.015
PCA	ebret	ebBRET	GNA15	11	0.012
PCA	ebret	ebBRET	GNA15	21	0.012
PCA	ebret	ebBRET	GNA15	33	0.011
PCA	ebret	ebBRET	GNA15	2	0.007
PCA	ebret	ebBRET	GNA15	16	0.007
PCA	ebret	ebBRET	GNA15	18	0.006
PCA	ebret	ebBRET	GNA15	12	0.004
PCA	ebret	ebBRET	GNA15	6	0.002
PCA	ebret	ebBRET	GNA15	19	0.002
PCA	ebret	ebBRET	GNA15	0	0.001
PCA	ebret	ebBRET	GNA15	7	0.001
PCA	ebret	ebBRET	GNA15	9	0.001
PCA	ebret	ebBRET	GNA15	10	0.001
PCA	ebret	ebBRET	GNA15	31	0.001
PCA	ebret	ebBRET	GNA15	32	0.001
PCA	ebret	ebBRET	GNA15	1	0.0
