Uniprot_acc	GPCR	Uniprot_id	class
P21462	FPR1	FPR1_HUMAN	classA
P25024	CXCR1	CXCR1_HUMAN	classA
P21730	C5AR1	C5AR1_HUMAN	classA
Q9NPB9	ACKR4	ACKR4_HUMAN	classA
P47211	GALR1	GALR1_HUMAN	classA
Q99679	GPR21	GPR21_HUMAN	classA
P08100	RHO	OPSD_HUMAN	classA
P03999	OPN1SW	OPSB_HUMAN	classA
Q96RI9	TAAR9	TAAR9_HUMAN	classA
Q8TDV2	GPR148	GP148_HUMAN	classA
O15529	GPR42	GPR42_HUMAN	classA
Q9BXC0	HCAR1	HCAR1_HUMAN	classA
O14843	FFAR3	FFAR3_HUMAN	classA
Q9NS75	CYSLTR2	CLTR2_HUMAN	classA
Q96RI8	TAAR6	TAAR6_HUMAN	classA
P43657	LPAR6	LPAR6_HUMAN	classA
O00421	CCRL2	CCRL2_HUMAN	classA
Q9P1P4	TAAR3P	TAAR3_HUMAN	classA
P21731	TBXA2R	TA2R_HUMAN	classA
O00574	CXCR6	CXCR6_HUMAN	classA
Q9H244	P2RY12	P2Y12_HUMAN	classA
Q969N4	TAAR8	TAAR8_HUMAN	classA
P25105	PTAFR	PTAFR_HUMAN	classA
Q969V1	MCHR2	MCHR2_HUMAN	classA
O00398	P2RY10	P2Y10_HUMAN	classA
Q96RJ0	TAAR1	TAAR1_HUMAN	classA
Q15391	P2RY14	P2Y14_HUMAN	classA
Q96P68	OXGR1	OXGR1_HUMAN	classA
Q8IYL9	GPR65	PSYR_HUMAN	classA
Q8NDV2	GPR26	GPR26_HUMAN	classA
Q9Y271	CYSLTR1	CLTR1_HUMAN	classA
Q9P296	C5AR2	C5AR2_HUMAN	classA
O14804	TAAR5	TAAR5_HUMAN	classA
Q96P67	GPR82	GPR82_HUMAN	classA
Q8TDV5	GPR119	GP119_HUMAN	classA
P47775	GPR12	GPR12_HUMAN	classA
Q9BXA5	SUCNR1	SUCR1_HUMAN	classA
Q49SQ1	GPR33	GPR33_HUMAN	classA
Q96CH1	GPR146	GP146_HUMAN	classA
P48146	NPBWR2	NPBW2_HUMAN	classA
Q9BXC1	GPR174	GP174_HUMAN	classA
P46094	XCR1	XCR1_HUMAN	classA
P32245	MC4R	MC4R_HUMAN	classA
P29275	ADORA2B	AA2BR_HUMAN	classA
